,,,,,,,,,,,,,,,,,,,,,,,,,
Step 0: Read input and output,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 6: Compute slope at output and hidden layer
Slope_output_layer= derivatives_sigmoid(output)
Slope_hidden_layer = derivatives_sigmoid(hiddenlayer_activations)",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,,,,,,Slope output,,,,,,,
,,,,,,,,,,0.15,0.12,0.19,,,,,,0.17,,,,,,,
,,,,,,,,,,0.08,0.11,0.14,,,,,,0.16,,,,,,,
,,,,,,,,,,0.15,0.14,0.17,,,,,,0.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 7: Compute delta at output layer

d_output = E * slope_output_layer*lr",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,,,,,,Slope output,,E,,,,,
,,,,,,,,,,0.15,0.12,0.19,,,,,,0.17,,0.21,,,,,
,,,,,,,,,,0.08,0.11,0.14,,,,,,0.16,,0.20,,,,,
,,,,,,,,,,0.15,0.14,0.17,,,,,,0.17,,-0.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Delta output,,,,,,
,,,,,,,,,,,,,,,,,,,0.04,,,,,,
,,,,,,,,,,,,,,,,,,,0.03,,,,,,
,,,,,,,,,,,,,,,,,,,-0.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 8: Calculate Error at hidden layer

Error_at_hidden_layer = matrix_dot_product(d_output, wout.Transpose)",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,Error at Hidden Layer,,,,,Slope output,,E,,,,,
,,,,,,,,,,0.15,0.12,0.19,0.011,0.009,0.008,,,0.17,,0.21,,,,,
,,,,,,,,,,0.08,0.11,0.14,0.010,0.008,0.007,,,0.16,,0.20,,,,,
,,,,,,,,,,0.15,0.14,0.17,-0.039,-0.033,-0.030,,,0.17,,-0.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Delta output,,,,,,
,,,,,,,,,,,,,,,,,,,0.04,,,,,,
,,,,,,,,,,,,,,,,,,,0.03,,,,,,
,,,,,,,,,,,,,,,,,,,-0.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 9: Compute delta at hidden layer

d_hiddenlayer = Error_at_hidden_layer * slope_hidden_layer",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,Error at Hidden Layer,,,,,Slope output,,E,,,,,
,,,,,,,,,,0.15,0.12,0.19,0.011,0.009,0.008,,,0.17,,0.21,,,,,
,,,,,,,,,,0.08,0.11,0.14,0.010,0.008,0.007,,,0.16,,0.20,,,,,
,,,,,,,,,,0.15,0.14,0.17,-0.039,-0.033,-0.030,,,0.17,,-0.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Delta Hidden Layer,,,,,,,,Delta output,,,,,,
,,,,,,,,,,,0.0035,0.0035,0.0045,,,,,,0.04,,,,,,
,,,,,,,,,,,0.0032,0.0032,0.0042,,,,,,0.03,,,,,,
,,,,,,,,,,,-0.0130,-0.0129,-0.0170,,,,,,-0.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 10: Update weight at both output and hidden layer

wout = wout + matrix_dot_product(hiddenlayer_activations.Transpose, d_output)*learning_rate
wh =  wh+ matrix_dot_product(X.Transpose,d_hiddenlayer)*learning_rate",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,wout from stpe10,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,0.295,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,0.245,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,0.225,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,Error at Hidden Layer,,,,,Slope output,,E,,,,,
,,,,,,,,,,0.15,0.12,0.19,0.011,0.009,0.008,,,0.17,,0.21,,,,,
,,Learning Rate,0.1,,,,,,,0.08,0.11,0.14,0.010,0.008,0.007,,,0.16,,0.20,,,,,
,,,,,,,,,,0.15,0.14,0.17,-0.039,-0.033,-0.030,,,0.17,,-0.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Delta Hidden Layer,,,,,,,,Delta output,,,,,,
,,,,,,,,,,,0.0035,0.0035,0.0045,,,,,,0.04,,,,,,
,,,,,,,,,,,0.0032,0.0032,0.0042,,,,,,0.03,,,,,,
,,,,,,,,,,,-0.0130,-0.0129,-0.0170,,,,,,-0.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 11: Update biases at both output and hidden layer

bh = bh + sum(d_hiddenlayer, axis=0) * learning_rate
bout = bout + sum(d_output, axis=0)*learning_rate",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,wout from stpe10,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,0.21,,0.295,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,0.20,,0.245,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,-0.79,,0.225,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope Hidden Layer,,,Error at Hidden Layer,,,,,Slope output,,E,,bh based on step 11,,,bout based on step 11
,,,,,,,,,,0.15,0.12,0.19,0.011,0.009,0.008,,,0.17,,0.21,,0.459,0.720,0.080,0.684
,,Learning Rate,0.1,,,,,,,0.08,0.11,0.14,0.010,0.008,0.007,,,0.16,,0.20,,,,,
,,,,,,,,,,0.15,0.14,0.17,-0.039,-0.033,-0.030,,,0.17,,-0.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Delta Hidden Layer,,,,,,,,Delta output,,,,,,
,,,,,,,,,,,0.0035,0.0035,0.0045,,,,,,0.04,,,,,,
,,,,,,,,,,,0.0032,0.0032,0.0042,,,,,,0.03,,,,,,
,,,,,,,,,,,-0.0130,-0.0129,-0.0170,,,,,,-0.13,,,,,,
